Study date,Year,Project,OBJECTID,Intersection,File Name
2017-12-06,2017,Turning Movement Count,8919,E 5TH AV AND QUEBEC ST,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E 5TH AV - 2017-12-06
2017-08-15,2017,Turning Movement Count,8920,JOYCE ST AND VANNESS AV,ENG - TDM - TURNING MOVEMENT COUNT - JOYCE ST & VANNESS AV - 2017-08-15
2017-03-28,2017,Turning Movement Count,8921,E 7TH AV AND QUEBEC ST,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E 7TH AV - 2017-03-28
2017-05-18,2017,Turning Movement Count,8922,E BROADWAY AND QUEBEC ST,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & E BROADWAY - 2017-05-18
2017-11-28,2017,Turning Movement Count,8923,BURRARD ST AND PACIFIC ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & PACIFIC ST - 2017-11-28
2017-07-12,2017,Turning Movement Count,8924,MAIN ST AND E BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E BROADWAY - 2017-07-12
2017-10-17,2017,Turning Movement Count,8925,QUEBEC ST AND TERMINAL AV,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & TERMINAL AV - 2017-10-17
2017-04-12,2017,Turning Movement Count,8926,BURRARD ST AND W 16TH AV,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & W 16TH AV - 2017-04-12
2017-06-21,2017,Turning Movement Count,8927,BURRARD ST AND W 7TH AV,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & W 7TH AV - 2017-06-21
2017-03-09,2017,Turning Movement Count,8928,W BROADWAY AND BURRARD ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & W BROADWAY - 2017-03-09
2017-03-21,2017,Turning Movement Count,8929,BURRARD ST AND W PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & W PENDER ST - 2017-03-21
2017-11-15,2017,Turning Movement Count,8930,MAIN ST AND E BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E BROADWAY - 2017-11-15
2017-10-25,2017,Turning Movement Count,8931,E 6TH AV AND QUEBEC ST,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & W 6TH AV - 2017-10-25
2017-03-23,2017,Turning Movement Count,8932,MAIN ST AND E GEORGIA ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E GEORGIA ST - 2017-03-23
2017-01-11,2017,Turning Movement Count,8933,DAVIE ST AND BUTE ST,ENG - TDM - TURNING MOVEMENT COUNT - BUTE ST & DAVIE ST - 2017-01-11
2017-03-08,2017,Turning Movement Count,8934,E KING EDWARD AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E KING EDWARD AV - 2017-03-08
2017-01-19,2017,Turning Movement Count,8935,MAIN ST AND E PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E PENDER ST - 2017-01-19
2017-02-28,2017,Turning Movement Count,8936,MAIN ST AND INDUSTRIAL AV,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & INDUSTRIAL AV - 2017-02-28
2017-02-07,2017,Turning Movement Count,8937,BUTE ST AND ROBSON ST,ENG - TDM - TURNING MOVEMENT COUNT - BUTE ST & ROBSON ST - 2017-02-07
2017-06-22,2017,Turning Movement Count,8938,BUTE ST AND ROBSON ST,ENG - TDM - TURNING MOVEMENT COUNT - BUTE ST & ROBSON ST - 2017-06-22
2017-08-29,2017,Turning Movement Count,8939,BUTE ST AND ROBSON ST,ENG - TDM - TURNING MOVEMENT COUNT - BUTE ST & ROBSON ST - 2017-08-29
2017-01-24,2017,Turning Movement Count,8940,W PENDER ST AND BUTE ST,ENG - TDM - TURNING MOVEMENT COUNT - BUTE ST & W PENDER ST - 2017-01-24
2017-01-26,2017,Turning Movement Count,8941,KEEFER ST AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & KEEFER ST - 2017-01-26
2017-02-15,2017,Turning Movement Count,8942,MAIN ST AND POWELL ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & POWELL ST - 2017-02-15
2017-02-14,2017,Turning Movement Count,8943,JOYCE ST AND VANNESS AV,ENG - TDM - TURNING MOVEMENT COUNT - JOYCE ST & VANNESS AV - 2017-02-14
