date,intersection,weather,type,AM_available,AM_scraped,MD_available,MD_scraped,PM_available,PM_scraped,AM_peak_hour,AM_north_bikes_vol,AM_north_peds_vol,AM_north_veh_vol,AM_east_bikes_vol,AM_east_peds_vol,AM_east_veh_vol,AM_south_bikes_vol,AM_south_peds_vol,AM_south_veh_vol,AM_west_bikes_vol,AM_west_peds_vol,AM_west_veh_vol,PM_peak_hour,PM_north_bikes_vol,PM_north_peds_vol,PM_north_veh_vol,PM_east_bikes_vol,PM_east_peds_vol,PM_east_veh_vol,PM_south_bikes_vol,PM_south_peds_vol,PM_south_veh_vol,PM_west_bikes_vol,PM_west_peds_vol,PM_west_veh_vol,MD_peak_hour,MD_north_bikes_vol,MD_north_peds_vol,MD_north_veh_vol,MD_east_bikes_vol,MD_east_peds_vol,MD_east_veh_vol,MD_south_bikes_vol,MD_south_peds_vol,MD_south_veh_vol,MD_west_bikes_vol,MD_west_peds_vol,MD_west_veh_vol
2019-04-17,W PENDER ST AND GRANVILLE ST,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,7,662,13.0,21,1226,493.0,25,759,75.0,7,915,468.0,16:50 - 17:50,14,957,27.0,11,1221,434.0,3,1018,78.0,30,1248,551.0,,,,,,,,,,,,,
2019-06-05,QUEBEC ST AND UNION ST,rain,,True,True,False,True,True,True,08:00 - 09:00,10,47,63.0,174,67,12.0,218,13,274.0,9,10,,16:55 - 17:55,73,57,239.0,174,89,8.0,161,13,254.0,27,29,,,,,,,,,,,,,,
2019-12-12,W HASTINGS ST AND E HASTINGS ST,rain,,True,True,False,True,True,True,08:00 - 09:00,5,3,228.0,1,13,871.0,29,281,108.0,2,165,333.0,16:45 - 17:45,18,,330.0,3,,500.0,13,543,227.0,11,547,1561.0,,,,,,,,,,,,,
2019-05-28,RAYMUR AV AND E CORDOVA ST,cloudy,,True,True,True,True,True,True,07:40 - 08:40,,3,2.0,7,5,47.0,4,5,48.0,2,,51.0,17:00 - 18:00,1,3,1.0,6,2,25.0,7,7,35.0,9,1,62.0,09:00 - 10:00,,,,,,2.0,,,,,,
2019-09-25,RAYMUR AV AND E CORDOVA ST,partly cloudy,,True,True,False,True,True,True,07:25 - 08:25,,2,4.0,6,2,60.0,2,8,40.0,2,4,23.0,16:00 - 17:00,1,3,7.0,7,3,78.0,3,3,32.0,5,,48.0,,,,,,,,,,,,,
2019-05-28,Raymur Av & Lane S of Cordova,partly cloudy,,True,True,False,True,True,True,07:40 - 08:40,5,1,43.0,1,2,14.0,7,6,31.0,1,3,35.0,16:55 - 17:55,5,1,22.0,,4,12.0,8,8,42.0,1,6,13.0,,,,,,,,,,,,,
2019-10-08,Raymur Av & Lane S of Cordova,partly cloudy,,True,True,False,True,True,True,07:25 - 08:25,6,3,26.0,1,3,7.0,4,3,38.0,1,3,7.0,16:05 - 17:05,8,8,22.0,2,,14.0,2,1,27.0,2,,13.0,,,,,,,,,,,,,
2019-09-26,UNION ST AND RAYMUR AV,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,24,51,67.0,325,,74.0,,,,49,1,67.0,16:50 - 17:50,3,61,40.0,108,2,67.0,,,,357,2,39.0,,,,,,,,,,,,,
2019-10-16,RAYMUR AV AND VENABLES ST,partly cloudy,,True,True,False,True,True,True,07:50 - 08:50,6,3,,2,17,1034.0,6,7,45.0,1,12,715.0,16:40 - 17:40,4,12,24.0,1,25,732.0,7,6,101.0,,1,1518.0,,,,,,,,,,,,,
2019-10-16,RAYMUR AV AND VENABLES ST,rain,,True,True,False,True,True,True,07:50 - 08:50,6,3,,2,17,1034.0,6,7,45.0,1,12,715.0,16:40 - 17:40,4,12,24.0,1,25,732.0,7,6,101.0,,1,1518.0,,,,,,,,,,,,,
2019-02-06,ADANAC ST AND RENFREW ST,partly cloudy,,True,True,False,True,True,True,07:55 - 08:55,,21,605.0,29,11,12.0,1,7,651.0,15,7,8.0,16:45 - 17:45,1,9,758.0,5,26,20.0,,1,733.0,30,8,14.0,,,,,,,,,,,,,
2019-04-23,HAMILTON ST AND NELSON ST,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,3,207,4.0,1,36,,2,172,70.0,48,25,1482.0,16:55 - 17:55,1,287,1.0,,145,1.0,1,553,119.0,119,24,1538.0,,,,,,,,,,,,,
2019-07-04,ADANAC ST AND RENFREW ST,cloudy,,True,True,False,True,True,True,07:55 - 08:55,4,6,549.0,81,5,13.0,1,3,744.0,43,12,18.0,16:15 - 17:15,3,12,1029.0,36,14,16.0,3,11,726.0,94,15,21.0,,,,,,,,,,,,,
2019-04-30,HAMILTON ST AND ROBSON ST,partly cloudy,,True,True,False,True,True,True,07:55 - 08:55,,730,107.0,,317,156.0,,392,188.0,,258,169.0,16:45 - 17:45,,1051,263.0,,335,102.0,,554,123.0,,549,224.0,,,,,,,,,,,,,
2019-09-24,DUNDAS ST AND N RENFREW ST,partly cloudy,,True,True,False,True,True,True,07:35 - 08:35,,27,424.0,2,27,1.0,,5,1171.0,1,43,162.0,17:00 - 18:00,1,22,457.0,3,62,3.0,2,21,929.0,2,34,445.0,,,,,,,,,,,,,
