Study date,Year,Project,OBJECTID,Intersection,File Name,Const_URL,FileType
2018-04-10,2018,Turning Movement Count,8717,CORNWALL AV AND BURRARD BRIDGE,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & CORNWALL ST - 2018-04-10,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8717/attachments/9890,xlsx
2018-04-26,2018,Turning Movement Count,8718,QUEBEC ST AND TERMINAL AV,ENG - TDM - TURNING MOVEMENT COUNT - QUEBEC ST & TERMINAL AVE - 2018-04-26,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8718/attachments/9891,xlsx
2018-04-24,2018,Turning Movement Count,8719,W 2ND AV AND MANITOBA ST,ENG - TDM - TURNING MOVEMENT COUNT - MANITOBA ST & 2ND AVE - 2018-04-24,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8719/attachments/9892,xlsx
2018-06-20,2018,Turning Movement Count,8720,DUNSMUIR ST AND BURRARD ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & DUNSMUIR ST - 2018-06-20,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8720/attachments/9893,xlsx
2018-04-18,2018,Turning Movement Count,8721,BURRARD ST AND W GEORGIA ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & GEORGIA ST - 2018-04-18,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8721/attachments/9894,xlsx
2018-06-19,2018,Turning Movement Count,8722,BURRARD ST AND W HASTINGS ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & HASTINGS ST - 2018-06-19,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8722/attachments/9895,xlsx
2018-04-11,2018,Turning Movement Count,8723,HELMCKEN ST AND BURRARD ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & HELMCKEN ST - 2018-04-11,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8723/attachments/9896,xlsx
2018-04-25,2018,Turning Movement Count,8724,RUPERT ST AND E 1ST AV,ENG - TDM - TURNING MOVEMENT COUNT - RUPERT ST & 1ST AVE - 2018-04-25,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8724/attachments/9897,xlsx
2018-01-23,2018,Turning Movement Count,8725,NANAIMO ST AND FRANKLIN ST,ENG - TDM - TURNING MOVEMENT COUNT - NANAIMO ST & FRANKLIN ST - 2018-01-23,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8725/attachments/9898,xlsx
2018-06-20,2018,Turning Movement Count,8726,BURRARD ST AND NELSON ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & NELSON ST - 2018-06-20,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8726/attachments/9899,xlsx
2018-07-25,2018,Turning Movement Count,8727,BURRARD ST AND NELSON ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & NELSON ST - 2018-07-25,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8727/attachments/9900,xlsx
2018-10-31,2018,Turning Movement Count,8728,W 10TH AV AND MAPLE ST,ENG - TDM - TURNING MOVEMENT COUNT - MAPLE ST & 10TH AVE - 2018-10-31,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8728/attachments/9901,xlsx
2018-08-21,2018,Turning Movement Count,8729,LARCH ST AND W 41ST AV,ENG - TDM - TURNING MOVEMENT COUNT - LARCH ST & 41ST AVE - 2018-08-21,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8729/attachments/9902,xlsx
2018-06-19,2018,Turning Movement Count,8730,BURRARD ST AND W PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & PENDER ST - 2018-06-19,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8730/attachments/9903,xlsx
2018-08-15,2018,Turning Movement Count,8731,BOYD DIVERSION AND E 22ND AV,ENG - TDM - TURNING MOVEMENT COUNT - RENFREW ST & 22ND AVE - 2018-08-15,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8731/attachments/9904,xlsx
2018-08-15,2018,Turning Movement Count,8732,KINGSWAY AND NANAIMO ST,ENG - TDM - TURNING MOVEMENT COUNT - NANAIMO ST & KINGSWAY - 2018-08-15,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8732/attachments/9905,xlsx
2018-04-19,2018,Turning Movement Count,8733,SMITHE ST AND BURRARD ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & SMITHE ST - 2018-04-19,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8733/attachments/9906,xlsx
2018-06-20,2018,Turning Movement Count,8734,SMITHE ST AND BURRARD ST,ENG - TDM - TURNING MOVEMENT COUNT - BURRARD ST & SMITHE ST - 2018-06-20,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8734/attachments/9907,xlsx
2018-10-10,2018,Turning Movement Count,8735,NANAIMO ST AND TRIUMPH ST,ENG - TDM - TURNING MOVEMENT COUNT - NANAIMO ST & TRIUMPH ST - 2018-10-10,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8735/attachments/9908,xlsx
2018-10-23,2018,Turning Movement Count,8737,E HASTINGS ST AND WALKWAY,ENG - TDM - TURNING MOVEMENT COUNT - KOOTENAY ST & HASTINGS ST - 2018-10-23,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/211/8737/attachments/9910,xlsx
